,title,recommended_movies
214,The Babysitter,"['House Party', 'American Heart', 'Mirage', ""Spencer's Mountain"", 'Dr. Giggles']"
215,Boys on the Side,"['Some Girl', 'The Last Days of Disco', 'One Crazy Summer', 'She Done Him Wrong', 'About Last Night...']"
216,The Cure,"['Benji: Off the Leash!', 'Panic', 'Dad', 'The Toy', 'The Fox and the Hound']"
217,Castle Freak,"['Haunted Castle', 'Dragonworld', 'Castle Keep', 'The Ghost Breakers', 'The Canterville Ghost']"
218,Circle of Friends,"['Ordinary Sinner', 'Dil Chahta Hai', 'Written on the Wind', 'Loser', 'The Shape of Things']"
219,Clerks,"['Dangan Runner', ""L'associé"", 'Snow days', 'Edtv', 'The Wild Angels']"
220,Don Juan DeMarco,"['Dr. T and the Women', 'Nothing in Common', 'The Umbrella Woman', 'Snow days', 'Stardust Memories']"
221,Disclosure,"['Lockdown', 'Surviving Desire', 'Buddy Boy', 'American Me', 'The Girl']"
222,Dream Man,"['The Gift', 'Juliet of the Spirits', ""Jack's Back"", 'The Fourth Man', 'Heaven']"
223,Drop Zone,"['Terminal Velocity', 'White Lightning', 'Bulletproof', 'Simon Sez', 'Mission: Impossible']"
224,Destiny Turns on the Radio,"['P.S. Your Cat Is Dead!', 'Penitentiary II', 'American Me', 'How to Get Ahead in Advertising', 'Seize the Day']"
225,Death and the Maiden,"['Garage Olimpo', 'The Girl', 'The Proprietor', 'Slaves of New York', 'Frantic']"
226,Dolores Claiborne,"['Double Jeopardy', 'They Made Me a Criminal', 'The Unfaithful', 'Music Box', 'Her Alibi']"
227,Dumb and Dumber,"['Three Men and a Little Lady', 'Party Girl', 'The Last Man', 'Cliffhanger', 'Money Talks']"
228,Eat Drink Man Woman,"['Yi Yi', 'Real Life', 'Since Otar Left', 'The Story of Qiu Ju', 'With Six You Get Eggroll']"
229,Exotica,"['Dancing at the Blue Iguana', ""A Gentleman's Game"", 'The Killing of a Chinese Bookie', 'Diamond Men', 'Diamonds']"
230,Exit to Eden,"['Swept Away', ""National Lampoon's Last Resort"", 'Eureka', ""I Know Where I'm Going!"", 'Mediterraneo']"
231,Ed Wood,"['Living in Oblivion', 'Stardust Memories', 'Day for Night', 'The Five Obstructions', 'The Loss of Sexual Innocence']"
232,French Kiss,"['Snow days', 'Charade', 'Heartbeeps', 'Ninotchka', 'That Uncertain Feeling']"
233,Forget Paris,"['A Little Romance', 'Gay Purr-ee', 'The Last Time I Saw Paris', ""Jason's Lyric"", 'Love & Basketball']"
234,Far from Home: The Adventures of Yellow Dog,"['Shiloh', 'Benji', 'Old Yeller', 'White Fang 2: Myth of the White Wolf', 'Lassie Come Home']"
235,A Goofy Movie,"['Honeysuckle Rose', 'Kabhi Khushi Kabhie Gham', 'P.S. Your Cat Is Dead!', 'Raining Stones', 'An Extremely Goofy Movie']"
236,Hideaway,"['About Schmidt', ""Jack's Back"", 'Trauma', 'The Man Who Knew Too Much', 'The Tie That Binds']"
237,Fluke,"['The Inheritance', 'Everything about Mustafa', 'The Hanging Garden', 'Dad', 'Shiloh']"
238,Farinelli,"['Callas Forever', 'Grace of My Heart', 'Yankee Doodle Dandy', 'Carmen', 'M. Butterfly']"
239,Gordy,"['Benji: Off the Leash!', 'Nicholas Nickleby', 'One Crazy Summer', 'Thumbelina', 'Our Hospitality']"
240,Gumby: The Movie,"['Parts: The Clonus Horror', 'The 6th Day', 'Interstella 5555: The 5tory of the 5ecret 5tar 5ystem', 'White Hunter Black Heart', 'Good Boy!']"
241,The Glass Shield,"['The Trial', 'The Four Feathers', 'The Gendarme and the Gendarmettes', 'Tunes of Glory', 'Prince of the City']"
242,Hoop Dreams,"['Best Boy', 'He Got Game', 'Sunset Park', 'To Be and to Have', 'Metallica: Some Kind of Monster']"
243,Heavenly Creatures,"['I Never Promised You a Rose Garden', ""Jason's Lyric"", 'Last Summer', 'A Heart in Winter', 'Desert Hearts']"
244,Houseguest,"['Rat', 'Parenthood', 'Cheaper by the Dozen', 'Better Living', 'One Crazy Summer']"
245,Immortal Beloved,"['Bar Girls', 'The Last Tycoon', 'Mr. Destiny', 'The Eddy Duchin Story', 'Raising Helen']"
246,Heavyweights,"['Camp Nowhere', 'Meatballs', 'The Baby-Sitters Club', 'Indian Summer', 'Meatballs Part II']"
247,The Hunted,"['The Eiger Sanction', 'Gotcha!', 'The Defender', 'American Ninja 5', 'Executive Action']"
248,I.Q.,"['Snow days', 'If You Only Knew', ""L'eclisse"", 'Pie in the Sky', 'A Place in the Sun']"
249,Interview with the Vampire,"['House of Dark Shadows', 'Vampire in Brooklyn', 'The Little Vampire', 'The Wisdom of Crocodiles', 'Scream Blacula Scream']"
250,Jefferson in Paris,"['Wilson', 'Abe Lincoln in Illinois', 'Intersection', 'About Schmidt', 'The Last Time I Saw Paris']"
251,The Jerky Boys,"['Gloria', 'The Pope of Greenwich Village', ""Jane Austen's Mafia!"", 'Police Academy', 'Thick as Thieves']"
252,Junior,"['Snow days', 'Baby Geniuses', 'Nine Months', 'It  Happens Every Spring', 'A Smile Like Yours']"
253,Just Cause,"[""Murphy's Law"", 'Out for a Kill', 'The Woman in the Window', 'Dark Passage', 'The Wrong Man']"
254,A Kid in King Arthur's Court,"[""Max Keeble's Big Move"", 'Merlin', 'Knights of the Round Table', 'Prince Valiant', 'Spy Kids 3-D: Game Over']"
255,Kiss of Death,"['The Whole Ten Yards', 'P.S. Your Cat Is Dead!', 'Penitentiary II', 'Song of the South', 'The Code']"
256,Star Wars,"['The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: Episode I - The Phantom Menace', 'Shanghai Noon', 'Mad Dog Time']"
257,Little Women,"['Little Women', 'Little Women', 'Divine Secrets of the Ya-Ya Sisterhood', 'The Virgin Suicides', 'Love Me Tender']"
258,A Little Princess,"['Tart', 'Snow Day', 'Fame', 'Flirting', 'Courage Mountain']"
259,Ladybird Ladybird,"['Yours, Mine and Ours', 'Mr & Mrs Bridge', 'The Railway Children', 'Somebody Is Waiting', 'Rocket Gibraltar']"
260,L'Enfer,"['The Secret Lives of Dentists', ""The Man Who Wasn't There"", 'Bird of Prey', 'Normal Life', 'A Double Life']"
261,Like Water for Chocolate,"['The Law', 'Mostly Martha', 'Déjà Vu', 'The Heart of Me', 'Guantanamera']"
262,Legends of the Fall,"['House of Fools', 'The Life and Death of Colonel Blimp', 'Guadalcanal Diary', 'The Fighting Sullivans', 'A Self-Made Hero']"
263,Major Payne,"['Tunes of Glory', 'Heartbreak Ridge', 'Battle Cry', 'Flying Leathernecks', 'Rent-a-Kid']"
264,Little Odessa,"['Knockout', 'Jack the Bear', 'Intervista', 'The Proprietor', 'Defying Gravity']"
265,Mi Vida Loca,"['Wildflowers', 'Bound by Honor', 'Wise Blood', 'The Boys Next Door', 'Pollyanna']"
266,Love Affair,"['Afterglow', ""I Know Where I'm Going!"", 'The Solid Gold Cadillac', 'The Parent Trap', 'Same Time, Next Year']"
267,Losing Isaiah,"['The Baby', ""Look Who's Talking"", 'Immediate Family', 'Up and Down', 'Robot Stories']"
268,The Madness of King George,"['The Proprietor', 'Slaves of New York', 'Und keiner weint mir nach', 'Diebinnen', 'Two Men Went To War']"
269,Mary Shelley's Frankenstein,"['Bride of Frankenstein', 'Young Frankenstein', 'The Ghost of Frankenstein', 'Frankenstein Meets the Wolf Man', 'Frankenstein']"
270,Man of the House,"['Problem Child 2', 'The Long, Hot Summer', 'Benji: Off the Leash!', 'The Debut', 'Trauma']"
271,Mixed Nuts,"['Christmas with the Kranks', 'A Charlie Brown Christmas', 'Snow days', 'All I Want For Christmas', 'Eight Crazy Nights']"
272,Milk Money,"['My Man', 'Hugo Pool', 'Snow days', 'Pie in the Sky', 'Love Me Tonight']"
273,Miracle on 34th Street,"['The Santa Clause', 'Silent Night, Deadly Night', 'Miracle on 34th Street', 'Elf', 'Bad Santa']"
274,Miami Rhapsody,"[""What's Cooking?"", 'Spider Baby', 'Worth Winning', 'Sibling Rivalry', 'Polish Wedding']"
275,My Family,"[""What's Cooking?"", 'Eulogy', 'I Remember Mama', 'Gordy', 'Yours, Mine and Ours']"
276,Murder in the First,"['Escape from Alcatraz', 'Midnight Express', 'Cool Hand Luke', 'Cradle Will Rock', 'Prison']"
277,Nobody's Fool,"['The Inheritance', 'Benji: Off the Leash!', 'The Secret Lives of Dentists', 'The Glass Menagerie', 'Kramer vs. Kramer']"
278,Nell,"['Sleeping with the Enemy', 'Limbo', 'The Girl', 'The Proprietor', 'Slaves of New York']"
279,New Jersey Drive,"['Breathless', 'The Wrong Arm of the Law', 'The Big Easy', 'Gone in 60 Seconds', ""Knockin' on Heaven's Door""]"
280,New York Cop,"['Defiance', 'Bound by Honor', 'City By The Sea', 'The Code', 'WiseGirls']"
281,Beyond Bedlam,"['Bride of the Monster', 'Doctor X', 'Island of Lost Souls', 'God Told Me To', 'C.H.U.D. II: Bud the Chud']"
282,Nemesis 2 - Nebula,"['Natural City', 'Terminator 2: Judgment Day', 'Cyborg 2', 'Cyborg', 'Appleseed']"
283,Nina Takes a Lover,"['Still Breathing', 'Two Ninas', 'North Beach', 'Love Jones', 'Snow days']"
284,Natural Born Killers,"['Power 98', 'Tightrope', 'The Girl', 'Chronicles', 'Kalifornia']"
285,Only You,"['Summertime', 'Dream for an Insomniac', 'It Had to Be You', 'Overnight Delivery', 'Déjà Vu']"
286,Once Were Warriors,"['It Runs in the Family', 'The Proprietor', 'Slaves of New York', 'Head-On', 'Und keiner weint mir nach']"
287,Poison Ivy II: Lily,"['Surviving Desire', 'College', 'Loser', 'I Love You, I Love You Not', 'D.O.A.']"
288,Outbreak,"['28 Days Later', 'Impulse', 'Adrenalin: Fear the Rush', 'The Crazies', 'Mr. North']"
289,Leon: The Professional,"['Gloria', 'Salton Sea', 'Branded to Kill', 'The Exterminator', 'No Mercy']"
290,The Perez Family,"['Enemies: A Love Story', 'The City', 'Snow days', 'Morvern Callar', 'Tortilla Soup']"
291,A Pyromaniac's Love Story,"['College', 'The Low Down', 'Attraction', 'Panic', 'Enemies: A Love Story']"
292,Pulp Fiction,"['The Usual Suspects', 'They Made Me a Criminal', 'Half Past Dead', 'Johnny Dangerously', 'Tycoon']"
293,Panther,"[""Sweet Sweetback's Baadasssss Song"", 'The Watermelon Woman', 'Black Like Me', 'The Proprietor', 'Slaves of New York']"
294,Pushing Hands,"['The Beautiful Country', 'The Wedding Banquet', 'Dimples', 'Harry and Tonto', 'Eat Drink Man Woman']"
295,Priest,"['How I Killed My Father', 'Tortilla Soup', 'My Beautiful Laundrette', 'A Man of No Importance', 'The Inheritance']"
296,Quiz Show,"['The Proprietor', 'Slaves of New York', 'Und keiner weint mir nach', 'Diebinnen', 'Cradle Will Rock']"
297,Picture Bride,"['Mesmerized', 'Swimming', 'Wondrous Oblivion', 'Queen Bee', 'The Slaughter Rule']"
298,Queen Margot,"['The Carriers Are Waiting', 'Cromwell', 'The King of Kings', 'Read My Lips', 'Le Garçu']"
299,The Quick and the Dead,"['Cat Ballou', 'Support Your Local Gunfighter', 'Hot Lead & Cold Feet', 'Destry Rides Again', 'Divine Intervention']"
300,Roommates,"['Und keiner weint mir nach', 'Diebinnen', 'Stinsen brinner... filmen alltså', ""That's Life!"", 'Passed Away']"
301,Prêt-à-Porter,"['Funny Face', 'Catwalk', ""Gray's Anatomy"", 'The Legend of Leigh Bowery', 'Michael']"
302,Three Colors: Red,"['Beyond the Clouds', 'Lucie Aubrac', 'Lola Montès', 'The Adversary', 'Last Year at Marienbad']"
303,Three Colors: Blue,"['Seventh Heaven', 'Birth', 'La Bamba', 'The Passion of Darkly Noon', 'What Time Is It There?']"
304,Three Colors: White,"['The Eighth Day', 'About Schmidt', 'Normal Life', 'Carried Away', 'Nothing in Common']"
305,"Red Firecracker, Green Firecracker","['Pastoral Symphony', 'Norma Rae', 'BUtterfield 8', 'A Price Above Rubies', 'The Big Boss']"
306,Rent-a-Kid,"['Spider Baby', 'Our Hospitality', 'Summer Rental', 'Real Life', 'Addams Family Reunion']"
307,Relative Fear,"['Islands in the Stream', 'Parents', 'How to Get Ahead in Advertising', 'Hard to Kill', 'Honeysuckle Rose']"
308,Stuart Saves His Family,"['The Proprietor', 'Slaves of New York', 'Carrie', 'Coneheads', 'Rosencrantz & Guildenstern Are Dead']"
309,The Swan Princess,"['The Sword and the Sorcerer', 'Aladdin', 'The Little Mermaid', 'Sleeping Beauty', 'The Shaggy Dog']"
310,The Secret of Roan Inish,"['Andre', 'Dancing at Lughnasa', 'Tarzan', 'Rat', 'The Skin Game']"
311,The Specialist,"['Live Wire', 'City of Industry', '5 Card Stud', 'The Crush', 'Collateral Damage']"
312,Stargate,"['The Son of Kong', 'The Book of Fate', 'Star Trek III: The Search for Spock', 'The Fly', 'Forbidden Planet']"
313,The Santa Clause,"['The Santa Clause 2', 'Elf', 'Silent Night, Deadly Night', 'Santa Claus Is a Stinker', 'Ernest Saves Christmas']"
314,The Shawshank Redemption,"['Dark Passage', 'The Boxer', 'Death Warrant', 'A Further Gesture', 'Lockdown']"
315,Shallow Grave,"['Chronicles', 'Mobsters', 'Romeo Is Bleeding', 'Sleeping with the Enemy', ""River's Edge""]"
316,Suture,"['How I Killed My Father', ""Spencer's Mountain"", 'The Inheritance', 'Lost Embrace', 'A Night in the Life of Jimmy Reardon']"
317,Strawberry and Chocolate,"['Before Night Falls', 'Love & Human Remains', 'Wondrous Oblivion', 'Our Man in Havana', 'Bitter Sugar']"
318,Swimming with Sharks,"['Stand-In', 'In the Soup', 'Stark Raving Mad', 'S.O.B.', 'Get Shorty']"
319,The Sum of Us,"['Bootmen', 'A Night in the Life of Jimmy Reardon', 'The Kid Brother', 'Devdas', 'Nothing in Common']"
320,Senior Trip,"['Overnight Delivery', 'Just a Kiss', 'There Goes My Baby', 'Noises Off...', 'Afterglow']"
321,To Live,"['Lan Yu', 'M. Butterfly', 'Pavilion of Women', 'The Sand Pebbles', 'Love Is a Many-Splendored Thing']"
322,Tank Girl,"['Steel Dawn', 'Brave New World', 'Dune', 'Megiddo: The Omega Code 2', 'The Book of Fate']"
323,Tales from the Crypt: Demon Knight,"['Ghoulies', 'The Convent', 'Incubus', 'Puppet Master 5: The Final Chapter', 'Pumpkinhead']"
324,Star Trek: Generations,"['Star Trek: Insurrection', 'Star Trek: Nemesis', 'Star Trek III: The Search for Spock', 'Star Trek: First Contact', 'Star Trek VI: The Undiscovered Country']"
325,Tales from the Hood,"['Trilogy of Terror', 'Bullet', 'Hellraiser: Inferno', 'Henry II, Portrait of a Serial Killer', 'Popcorn']"
326,Tom & Viv,"['The Girl', 'The Proprietor', 'Slaves of New York', 'David and Lisa', 'The Tomb of Ligeia']"
327,Village of the Damned,"['Alien Escape', 'Virus', 'The Thing', 'It Conquered the World', 'Village of the Damned']"
328,Tommy Boy,"['The Rugrats Movie', 'Creature Comforts', 'Rugrats in Paris: The Movie', 'A Smile Like Yours', 'Better Living']"
329,Vanya on 42nd Street,"['Foreign Student', 'Went to Coney Island on a Mission from God... Be Back by Five', 'The Girl', 'August', 'The Proprietor']"
330,The Underneath,"[""What's Eating Gilbert Grape"", 'The Hanging Garden', 'Panic', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'Halloween 4: The Return of Michael Myers']"
331,The Walking Dead,"['Full Metal Jacket', 'More American Graffiti', 'Platoon', 'Apocalypse Now', 'Some Kind of Hero']"
332,What's Eating Gilbert Grape,"['Buddy Boy', 'Stardust Memories', 'Honeysuckle Rose', 'The Truman Show', 'Commandments']"
333,Virtuosity,"['The Lawnmower Man', 'Star Trek: Generations', 'eXistenZ', 'Children of the Damned', '48 Hrs.']"
334,While You Were Sleeping,"[""What's Eating Gilbert Grape"", 'Tiptoes', 'Shot in the Heart', 'Next of Kin', 'Dummy']"
335,The War,"['More American Graffiti', ""Jacob's Ladder"", 'Born on the Fourth of July', 'Distant Thunder', 'Uncommon Valor']"
336,Double Happiness,"['Love and Other Catastrophes', 'The Tall Guy', 'Lovely & Amazing', 'Snow days', 'Loser']"
337,Muriel's Wedding,"['Snow days', 'Four Weddings and a Funeral', 'The Pick-up Artist', 'Lovely & Amazing', 'Next Stop Wonderland']"
338,The Baby-Sitters Club,"['Camp Nowhere', 'Shag', 'All Over the Guy', 'Parenthood', 'Harriet the Spy']"
339,Ace Ventura: Pet Detective,"['The Day of the Dolphin', 'A Hole in the Head', 'Tony Rome', 'Flipper', 'Gates of Heaven']"
340,"The Adventures of Priscilla, Queen of the Desert","['The Proprietor', 'Slaves of New York', 'To Wong Foo, Thanks for Everything! Julie Newmar', 'A Boy Called Hate', 'The Birdcage']"
341,Backbeat,"['The Fabulous Baker Boys', 'Smoking / No Smoking', 'Personal Best', 'Never Met Picasso', 'Inherit the Wind']"
342,Bitter Moon,"[""The Rich Man's Wife"", 'The Umbrella Woman', 'The Tomb of Ligeia', 'Tom & Viv', 'The Girl']"
343,Bullets Over Broadway,"['Oliver & Company', 'King David', 'Wondrous Oblivion', 'The Panic in Needle Park', 'Love & Human Remains']"
344,Clear and Present Danger,"['Patriot Games', 'Spies Like Us', 'Never Die Alone', 'The Man with One Red Shoe', 'Executive Action']"
345,The Client,"['The Saphead', 'A Very Natural Thing', 'White Sands', 'Peeping Tom', 'Guilty as Sin']"
346,"Corrina, Corrina","['Jersey Girl', 'Imitation of Life', ""Look Who's Talking Too"", 'Tortilla Soup', 'A World Apart']"
347,Crooklyn,"['She Hate Me', 'Music of the Heart', 'Went to Coney Island on a Mission from God... Be Back by Five', 'Judy Berlin', 'The Proprietor']"
348,The Crow,"['The Crow: City of Angels', 'The Crow: Salvation', 'Bones', 'Nothing to Lose', 'Tycoon']"
349,Cobb,"['Honeysuckle Rose', 'A Rumor of Angels', 'Stealing Home', 'The Babe', 'Wilson']"
350,The Flintstones,"['It Runs in the Family', 'Harry and the Hendersons', 'Cheaper by the Dozen', 'Spider Baby', 'Jack and the Beanstalk']"
351,Forrest Gump,"[""What's Eating Gilbert Grape"", 'Bootmen', 'The Low Down', 'The Umbrella Woman', 'Crane World']"
352,Four Weddings and a Funeral,"['I Think I Do', 'Seeing Other People', 'The Wedding Singer', 'That Old Feeling', 'Cousins']"
353,Higher Learning,"['College', 'American Me', 'Commandments', 'Panic', 'Honeysuckle Rose']"
354,I Like It Like That,"['Trees Lounge', 'Tortilla Soup', 'Caught Up', 'Siam Sunset', ""What's Eating Gilbert Grape""]"
355,I Love Trouble,"['It Happened One Night', 'While You Were Sleeping', 'Nothing Sacred', 'Born Yesterday', 'Libeled Lady']"
356,It Could Happen to You,"['Colonel Chabert', 'Chungking Express', 'Commandments', 'No Looking Back', 'Nothing in Common']"
357,The Jungle Book,"['The Jungle Book 2', 'The Second Jungle Book: Mowgli & Baloo', 'Jungle Book', 'The Jungle Book', 'Tarzan']"
358,"The Wonderful, Horrible Life of Leni Riefenstahl","['Triumph of the Will', 'JLG/JLG: Self-Portrait in December', 'Rome, Open City', 'The Kentucky Fried Movie', 'The Independent']"
359,The Lion King,"['Nicholas Nickleby', 'The King and I', 'Unstrung Heroes', 'Quest for Camelot', 'Prince Valiant']"
360,Little Buddha,"['Samsara', 'Went to Coney Island on a Mission from God... Be Back by Five', 'The Proprietor', 'Tar', 'Slaves of New York']"
361,New Nightmare,"['A Nightmare on Elm Street 3: Dream Warriors', 'A Nightmare on Elm Street 5: The Dream Child', ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'A Nightmare on Elm Street 4: The Dream Master', 'Return to Oz']"
362,The Mask,"['Son of the Mask', 'Harry and Walter Go To New York', 'Stark Raving Mad', 'Vabank', 'Dog Day Afternoon']"
363,Maverick,"['5 Card Stud', 'The Cincinnati Kid', 'Fool for Love', 'Cockfighter', 'Brother Orchid']"
364,Mrs. Parker and the Vicious Circle,"['Went to Coney Island on a Mission from God... Be Back by Five', 'The Girl', 'The Proprietor', 'Slaves of New York', 'The Strange Love of Martha Ivers']"
365,The Naked Gun 33⅓: The Final Insult,"['The Naked Gun 2½: The Smell of Fear', 'Call Northside 777', 'Scrooged', 'The Punisher', 'Bringing Out the Dead']"
366,The Paper,"['The Out-of-Towners', 'Regarding Henry', 'I Hired a Contract Killer', 'Henry II, Portrait of a Serial Killer', 'School for Scoundrels']"
367,Reality Bites,"['I Never Promised You a Rose Garden', 'Between Strangers', 'The Proprietor', 'Slaves of New York', ""It's My Party""]"
368,Red Rock West,"['Road to Perdition', 'Black Sheep', 'Blood and Wine', 'The Killers', 'The Whole Ten Yards']"
369,Ri¢hie Ri¢h,"['Spider Baby', ""What's Cooking?"", 'Cheaper by the Dozen', 'Gordy', 'Cops & Robbersons']"
370,Safe Passage,"[""Virginia's Run"", 'Somebody Is Waiting', 'Postcards from the Edge', 'Divine Secrets of the Ya-Ya Sisterhood', 'Mr & Mrs Bridge']"
371,The River Wild,"['The Taking of Pelham One Two Three', 'Metro', 'State Property 2', 'Young Adam', 'Street Fighter']"
